Summary Quite,edgar
http://www.nasdaq.com/symbol/ddd,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f14%2f0000910638-16-000016.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/mmm,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f09%2f0001558370-17-000479.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/wbai,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f28%2f0001144204-16-097132.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/wuba,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f05%2f13%2f0001144204-16-101840.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/ahc,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f08%2f0001413898-16-000038.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aten,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f24%2f0001580808-17-000013.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aac,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f09%2f0001564590-16-014247.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/air,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f07%2f13%2f0001047469-16-014299.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aan,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f24%2f0000706688-17-000030.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abb,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f02%2f25%2f0001047469-16-010413.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/abt,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f17%2f0001047469-17-000744.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/abbv,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f17%2f0001551152-17-000004.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/anf,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f28%2f0001018840-16-000080.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/gch,http://www.nasdaq.com/symbol/gch
http://www.nasdaq.com/symbol/jeq,http://www.nasdaq.com/symbol/jeq
http://www.nasdaq.com/symbol/sgf,http://www.nasdaq.com/symbol/sgf
