Summary Quite,edgar
http://www.nasdaq.com/symbol/nee^q,http://www.nasdaq.com/symbol/nee^q
http://www.nasdaq.com/symbol/nee^r,http://www.nasdaq.com/symbol/nee^r
http://www.nasdaq.com/symbol/ngl,http://secfilings.nasdaq.com/edgar_conv_html%2f2015%2f06%2f01%2f0001104659-15-042429.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nmk^b,http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f28%2f0000950135-07-003979.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nmk^c,http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f28%2f0000950135-07-003979.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nlsn,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f17%2f0001564590-17-001729.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nke,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f07%2f21%2f0000320187-16-000336.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nmbl,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f31%2f0001193125-16-525502.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/ntt,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f06%2f30%2f0001193125-16-637290.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/ni,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f22%2f0001111711-17-000011.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nl,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f10%2f0001564590-16-014434.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/noah,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f27%2f0001193125-16-557500.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/ne,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f24%2f0001628280-17-001689.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nbl,http://secfilings.nasdaq.com/edgar_conv_html%2f2013%2f02%2f07%2f0000072207-13-000013.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nblx,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f09%2f07%2f0001193125-16-702542.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nok,http://secfilings.nasdaq.com/edgar_conv_html%2f2014%2f04%2f30%2f0001193125-14-169071.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/nomd,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f01%2f0001193125-16-527793.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/nmr,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f06%2f23%2f0001193125-16-629445.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/osb,http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f26%2f0001204459-07-000369.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nord,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f11%2f29%2f0001104659-16-159385.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/nao,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f23%2f0000919574-16-012104.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/nat,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f23%2f0000919574-16-012108.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/jwn,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f14%2f0000072333-16-000260.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nsc,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f06%2f0000702165-17-000018.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/ntl,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f29%2f0001104659-16-115475.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/noa,http://secfilings.nasdaq.com/edgar_conv_html%2f2010%2f06%2f10%2f0001193125-10-136467.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nadl,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f28%2f0001560186-16-000005.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/nrt,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f12%2f29%2f0000072633-16-000054.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/noc,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f01%2f30%2f0001133421-17-000008.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nre,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001646587-16-000065.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nwn,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f02%2f26%2f0000073020-16-000038.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nwe,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f17%2f0000073088-17-000031.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/nvs,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f01%2f25%2f0001047469-17-000338.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/nvo,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f09%2f0001171843-17-000780.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/dnow,http://secfilings.nasdaq.com/edgar_conv_html%2f2017%2f02%2f15%2f0001564590-17-001602.html#FIS_BUSINESS
